C0002395,ALZHEIMER DISEASE (Alzheimer's Disease),Disease or Syndrome,C0234387,Cerebral Disease (Cerebral disorder),Disease or Syndrome,  Alzheimer disease is a primary degenerative cerebral disease of unknown etiology with characteristic neuropathological and neurochemical features.
C2364135,sensory discomfort (Discomfort),Sign or Symptom,C0234215,Sensory Discomfort,Sign or Symptom,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,sensory discomfort (Discomfort),Sign or Symptom,C0012634,Disorder (Disease),Disease or Syndrome,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,sensory discomfort (Discomfort),Sign or Symptom,C0393735,Headache Disorders,Disease or Syndrome,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,sensory discomfort (Discomfort),Sign or Symptom,C0018681,HEAD PAIN (Headache),Sign or Symptom,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,sensory discomfort (Discomfort),Sign or Symptom,C2745955,Occurrence [Temporal Concept],Temporal Concept,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C0018681,Pain in head (Headache),Sign or Symptom,C0015672,Tired (Fatigue),Sign or Symptom,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C0018681,Pain in head (Headache),Sign or Symptom,C1883708,Then [Temporal Concept],Temporal Concept,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C0018681,Pain in head (Headache),Sign or Symptom,C1948052,Now (Now (temporal qualifier)) [Temporal Concept],Temporal Concept,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C0018681,Pain in head (Headache),Sign or Symptom,C0234215,Sensory Discomfort,Sign or Symptom,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C0018681,Pain in head (Headache),Sign or Symptom,C0012634,Disorder (Disease),Disease or Syndrome,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C0018681,Pain in head (Headache),Sign or Symptom,C0393735,Headache Disorders,Disease or Syndrome,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C0018681,Pain in head (Headache),Sign or Symptom,C0018681,HEAD PAIN (Headache),Sign or Symptom,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C0018681,Pain in head (Headache),Sign or Symptom,C2745955,Occurrence [Temporal Concept],Temporal Concept,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C0015672,Tired (Fatigue),Sign or Symptom,C1883708,Then [Temporal Concept],Temporal Concept,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C0015672,Tired (Fatigue),Sign or Symptom,C1948052,Now (Now (temporal qualifier)) [Temporal Concept],Temporal Concept,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C0015672,Tired (Fatigue),Sign or Symptom,C0234215,Sensory Discomfort,Sign or Symptom,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C0015672,Tired (Fatigue),Sign or Symptom,C0012634,Disorder (Disease),Disease or Syndrome,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C0015672,Tired (Fatigue),Sign or Symptom,C0393735,Headache Disorders,Disease or Syndrome,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C0015672,Tired (Fatigue),Sign or Symptom,C0018681,HEAD PAIN (Headache),Sign or Symptom,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C0015672,Tired (Fatigue),Sign or Symptom,C2745955,Occurrence [Temporal Concept],Temporal Concept,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C1883708,Then [Temporal Concept],Temporal Concept,C1948052,Now (Now (temporal qualifier)) [Temporal Concept],Temporal Concept,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
